income	gender	weight
-4	1	195
30000	1	168
68000	1	180
-4	1	-5
2000	2	120
146002	1	150
41000	1	175
50000	2	125
-2	1	180
-5	2	125
-4	1	-5
93000	2	105
-5	2	160
60000	1	150
40000	1	-5
-4	2	285
5700	1	325
2000	2	210
55000	1	220
-4	1	-5
60000	2	155
-4	2	200
33000	2	158
32000	1	235
-5	2	136
-5	2	-5
4000	1	-5
-4	1	190
16000	1	220
46000	1	145
55000	1	144
42000	1	150
76000	2	127
32000	1	140
20000	2	105
-5	2	-5
67000	1	240
-5	2	135
40000	1	170
-4	2	115
20000	2	124
146002	2	125
85000	2	130
-4	2	125
52000	2	145
65000	2	150
-5	2	-5
-2	2	130
54000	1	165
16000	2	125
30000	1	150
-5	2	115
-5	1	-5
33000	1	210
-4	2	-2
45000	1	180
9000	2	210
-4	2	230
24000	2	230
24000	1	160
50000	1	170
-5	2	150
29000	2	117
-5	1	205
146002	1	183
10000	1	240
45000	2	-5
27000	1	185
-4	2	-5
80000	2	150
146002	1	210
-5	2	-5
-4	2	195
-5	2	-5
-5	1	-5
53000	1	250
50000	2	150
14000	1	208
-5	2	127
-4	2	98
14000	1	140
-5	1	150
18000	2	145
-5	1	-5
-5	2	-5
-2	2	95
-4	2	115
19000	2	97
48000	2	130
10000	2	120
26000	1	192
20000	2	140
-5	1	-5
-5	1	150
-4	1	140
50100	2	125
79000	2	150
15000	1	185
53000	1	180
40000	1	205
-4	1	-5
11000	1	270
17000	2	190
-2	1	155
30000	1	145
36000	1	130
1900	1	155
6000	1	150
-4	1	-5
3000	1	185
17540	2	295
-4	2	112
65000	2	170
7200	1	130
31000	1	140
20640	2	98
17500	1	175
26000	1	140
13000	2	120
14000	2	115
-4	2	125
-5	2	-5
25000	1	250
-4	1	180
4200	1	165
-5	1	-5
18000	2	180
-1	1	130
18000	2	91
10000	2	105
35000	1	140
34000	2	230
3000	2	135
15000	1	164
-5	2	130
44000	1	-5
65000	2	145
28000	2	130
-4	2	236
-4	2	280
-5	1	-5
45000	1	-5
5000	2	132
27000	2	125
1800	2	220
-2	2	160
1500	2	125
-5	2	-5
30000	2	130
56000	2	146
9200	2	-5
31200	1	200
-5	2	-5
-4	1	145
-5	2	-5
-5	2	-5
35000	2	235
-5	1	-5
8000	2	112
-2	1	240
-5	2	-5
45000	1	170
15600	1	285
-5	1	165
25000	1	175
-5	1	-5
-2	2	135
30000	1	175
146002	2	135
-5	1	-5
45000	1	-5
-2	1	135
-4	1	230
3000	2	140
52000	2	145
50000	1	140
6500	1	295
36000	2	140
15000	2	135
82000	1	-5
-5	1	206
-5	1	148
-5	1	-5
45000	2	110
-5	1	176
40000	2	140
146002	2	115
-5	1	-5
83000	2	140
45000	1	151
32000	1	210
43000	2	127
8930	1	175
60000	1	145
-5	1	-5
-5	2	125
-5	1	-5
-5	1	250
89000	1	-5
20000	1	155
-4	1	200
45000	2	-5
-5	2	146
38000	1	235
-5	2	-5
-2	1	170
1000	1	255
-2	2	170
9000	1	170
-4	1	-5
16000	1	185
15000	1	125
